Measure-Key,Measure-Name,Input-networks,Input-nodesets,Input-parameters,
authorityCentrality-2,authorityCentrality,Meta-Node grouping 1,,,
authorityCentrality-1,authorityCentrality,Semantic Network,,,
averageDistance-1,averageDistance,Meta-Node grouping 1,,,
averageDistance-2,averageDistance,Semantic Network,,,
averageSpeed-1,averageSpeed,Meta-Node grouping 1,,,
averageSpeed-2,averageSpeed,Semantic Network,,,
betweennessCentrality-2,betweennessCentrality,Meta-Node grouping 1,,,
betweennessCentrality-1,betweennessCentrality,Semantic Network,,,
betweennessCentralization-1,betweennessCentralization,Meta-Node grouping 1,,,
betweennessCentralization-2,betweennessCentralization,Semantic Network,,,
biDirectionalEdgeCount-1,biDirectionalEdgeCount,Meta-Node grouping 1,,,
biDirectionalEdgeCount-2,biDirectionalEdgeCount,Semantic Network,,,
bonacichPowerCentrality-2,bonacichPowerCentrality,Meta-Node grouping 1,,,
bonacichPowerCentrality-1,bonacichPowerCentrality,Semantic Network,,,
brokerage-2,brokerage,Meta-Node grouping 1,,,
brokerage-1,brokerage,Semantic Network,,,
capability-1,capability,Concept X Meta-Node 1,,,
capability-3,capability,Meta-Node grouping 1,,,
capability-2,capability,Semantic Network,,,
cliqueCount-1,cliqueCount,Meta-Node grouping 1,,,
cliqueCount-2,cliqueCount,Semantic Network,,,
closenessCentrality-2,closenessCentrality,Meta-Node grouping 1,,,
closenessCentrality-1,closenessCentrality,Semantic Network,,,
closenessCentralization-1,closenessCentralization,Meta-Node grouping 1,,,
closenessCentralization-2,closenessCentralization,Semantic Network,,,
clusteringCoefficient-1,clusteringCoefficient,Meta-Node grouping 1,,,
clusteringCoefficient-2,clusteringCoefficient,Semantic Network,,,
cognitiveDemand-1,cognitiveDemand,Semantic Network,,,
columnBreadth-1,columnBreadth,Concept X Meta-Node 1,,,
columnBreadth-2,columnBreadth,Meta-Node grouping 1,,,
columnBreadth-3,columnBreadth,Semantic Network,,,
columnCount-1,columnCount,Concept X Meta-Node 1,,,
columnCount-2,columnCount,Meta-Node grouping 1,,,
columnCount-3,columnCount,Semantic Network,,,
columnDegreeCentrality-2,columnDegreeCentrality,Concept X Meta-Node 1,,,
columnDegreeCentrality-3,columnDegreeCentrality,Meta-Node grouping 1,,,
columnDegreeCentrality-1,columnDegreeCentrality,Semantic Network,,,
columnGiniMeansDifference-2,columnGiniMeansDifference,Concept X Meta-Node 1,,,
columnGiniMeansDifference-3,columnGiniMeansDifference,Meta-Node grouping 1,,,
columnGiniMeansDifference-1,columnGiniMeansDifference,Semantic Network,,,
columnRedundancy-1,columnRedundancy,Concept X Meta-Node 1,,,
columnRedundancy-2,columnRedundancy,Meta-Node grouping 1,,,
columnRedundancy-3,columnRedundancy,Semantic Network,,,
complexity-1,complexity,,,,
connectedness-1,connectedness,Meta-Node grouping 1,,,
connectedness-2,connectedness,Semantic Network,,,
correlationDistinctiveness-1,correlationDistinctiveness,Concept X Meta-Node 1,,,
correlationDistinctiveness-3,correlationDistinctiveness,Meta-Node grouping 1,,,
correlationDistinctiveness-2,correlationDistinctiveness,Semantic Network,,,
correlationExpertise-1,correlationExpertise,Concept X Meta-Node 1,,,
correlationExpertise-3,correlationExpertise,Meta-Node grouping 1,,,
correlationExpertise-2,correlationExpertise,Semantic Network,,,
correlationResemblance-1,correlationResemblance,Concept X Meta-Node 1,,,
correlationResemblance-3,correlationResemblance,Meta-Node grouping 1,,,
correlationResemblance-2,correlationResemblance,Semantic Network,,,
correlationSimilarity-1,correlationSimilarity,Concept X Meta-Node 1,,,
correlationSimilarity-3,correlationSimilarity,Meta-Node grouping 1,,,
correlationSimilarity-2,correlationSimilarity,Semantic Network,,,
density-1,density,Concept X Meta-Node 1,,,
density-2,density,Meta-Node grouping 1,,,
density-3,density,Semantic Network,,,
diagonal-2,diagonal,Meta-Node grouping 1,,,
diagonal-1,diagonal,Semantic Network,,,
diameter-1,diameter,Meta-Node grouping 1,,,
diameter-2,diameter,Semantic Network,,,
diameterReachable-1,diameterReachable,Meta-Node grouping 1,,,
diameterReachable-2,diameterReachable,Semantic Network,,,
diffusion-1,diffusion,Meta-Node grouping 1,,,
diffusion-2,diffusion,Semantic Network,,,
eccentricity-2,eccentricity,Meta-Node grouping 1,,,
eccentricity-1,eccentricity,Semantic Network,,,
edgeCount-1,edgeCount,Concept X Meta-Node 1,,,
edgeCount-2,edgeCount,Meta-Node grouping 1,,,
edgeCount-3,edgeCount,Semantic Network,,,
edgeSum-1,edgeSum,Concept X Meta-Node 1,,,
edgeSum-2,edgeSum,Meta-Node grouping 1,,,
edgeSum-3,edgeSum,Semantic Network,,,
efficiency-1,efficiency,Meta-Node grouping 1,,,
efficiency-2,efficiency,Semantic Network,,,
egoBetweennessCentrality-2,egoBetweennessCentrality,Meta-Node grouping 1,,,
egoBetweennessCentrality-1,egoBetweennessCentrality,Semantic Network,,,
eigenvectorCentrality-2,eigenvectorCentrality,Meta-Node grouping 1,,,
eigenvectorCentrality-1,eigenvectorCentrality,Semantic Network,,,
eigenvectorCentralization-1,eigenvectorCentralization,Meta-Node grouping 1,,,
