Measure-Key,New_Testament,
averageDistance-1,3.227941e+000,
averageSpeed-1,3.097950e-001,
betweennessCentralization-1,6.478764e-002,
biDirectionalEdgeCount-1,33,
cliqueCount-1,9,
closenessCentralization-1,1.302974e-004,
clusteringCoefficient-1,2.944595e-001,
columnBreadth-2,1,
columnCount-2,48,
columnRedundancy-2,2.925532e-002,
connectedness-1,1.205674e-001,
density-2,6.887755e-002,
diameter-1,5280,
diameterReachable-1,8,
diffusion-1,1.180398e-001,
edgeCount-2,81,
edgeSum-2,396,
efficiency-1,8.583333e-001,
eigenvectorCentralization-1,4.800475e-001,
fragmentation-1,8.794326e-001,
globalEfficiency-1,4.773408e-002,
hierarchy-1,0,
inClosenessCentralization-1,5.871626e-006,
inDegreeCentralization-2,2.735915e-002,
interdependence-1,3.030303e-002,
isolateCount-1,0,
lateralEdgeCount-1,4.074074e-001,
localEfficiency-1,1.019345e-001,
minimumSpeed-1,1.250000e-001,
nodeCount-1,48,
outDegreeCentralization-2,2.735915e-002,
pooledEdgeCount-1,1,
reciprocity-1,1,
rowBreadth-2,1,
rowCount-2,48,
rowRedundancy-2,2.925532e-002,
sequentialEdgeCount-1,0,
skipEdgeCount-1,3.333333e-001,
spanOfControl-1,1.650000e+001,
strongComponentCount-1,32,
totalDegreeCentralization-1,2.735915e-002,
transitivity-1,4.261364e-001,
uniDirectionalEdgeCount-1,0,
upperBoundedness-1,1,
weakComponentCount-1,32,
weightedDensity-2,3.061224e-003,
