Measure-Key,New_Testament,
averageDistance-2,5.702231e+000,
averageSpeed-2,1.753699e-001,
betweennessCentralization-2,9.321331e-002,
biDirectionalEdgeCount-2,380,
cliqueCount-2,94,
closenessCentralization-2,5.048769e-006,
clusteringCoefficient-2,1.889530e-001,
columnBreadth-3,4.350000e-001,
columnCount-3,400,
columnRedundancy-3,3.339596e-003,
connectedness-2,2.027193e-001,
density-3,5.137157e-003,
diameter-2,177600,
diameterReachable-2,18,
diffusion-2,2.012639e-001,
edgeCount-3,412,
edgeSum-3,1121,
efficiency-2,9.902213e-001,
eigenvectorCentralization-2,6.337703e-001,
fragmentation-2,7.972807e-001,
globalEfficiency-2,4.377022e-002,
hierarchy-2,0,
inClosenessCentralization-2,0,
inDegreeCentralization-3,3.386256e-003,
interdependence-2,2.484418e-003,
isolateCount-2,141,
lateralEdgeCount-2,3.737864e-001,
localEfficiency-2,1.793961e-001,
minimumSpeed-2,5.555556e-002,
nodeCount-2,400,
outDegreeCentralization-3,3.386256e-003,
pooledEdgeCount-2,8.881579e-001,
reciprocity-2,1,
rowBreadth-3,4.350000e-001,
rowCount-3,400,
rowRedundancy-3,3.339596e-003,
sequentialEdgeCount-2,0,
sharedSituationAwareness-1,2.499998e-003,
skipEdgeCount-2,6.868932e-001,
spanOfControl-2,8.656371e+000,
strongComponentCount-2,176,
totalDegreeCentralization-2,3.386256e-003,
transitivity-2,1.830000e-001,
uniDirectionalEdgeCount-2,0,
upperBoundedness-2,1,
weakComponentCount-2,176,
weightedDensity-3,3.148098e-005,
