Node-Id,Node-Title,authorityCentrality-1-New_Testament,betweennessCentrality-1-New_Testament,betweennessCentrality-1-New_Testament-unscaled,bonacichPowerCentrality-1-New_Testament,brokerage-1-New_Testament,capability-1-New_Testament,capability-2-New_Testament,cliqueCount-2-New_Testament,closenessCentrality-1-New_Testament,closenessCentrality-1-New_Testament-unscaled,clusteringCoefficient-2-New_Testament,cognitiveDemand-1-New_Testament,columnDegreeCentrality-1-New_Testament,columnDegreeCentrality-1-New_Testament-unscaled,columnGiniMeansDifference-1-New_Testament,correlationDistinctiveness-1-New_Testament,correlationDistinctiveness-2-New_Testament,correlationExpertise-1-New_Testament,correlationExpertise-2-New_Testament,correlationResemblance-1-New_Testament,correlationResemblance-2-New_Testament,correlationSimilarity-1-New_Testament,correlationSimilarity-2-New_Testament,diagonal-1-New_Testament,eccentricity-1-New_Testament,eccentricity-1-New_Testament-unscaled,egoBetweennessCentrality-1-New_Testament,eigenvectorCentrality-1-New_Testament,eigenvectorCentrality-1-New_Testament-unscaled,exclusivity-1-New_Testament,exclusivity-1-New_Testament-unscaled,exclusivity-2-New_Testament,exclusivity-2-New_Testament-unscaled,exclusivityComplete-1-New_Testament,exclusivityComplete-1-New_Testament-unscaled,exclusivityComplete-2-New_Testament,exclusivityComplete-2-New_Testament-unscaled,hubCentrality-1-New_Testament,inClosenessCentrality-1-New_Testament,inClosenessCentrality-1-New_Testament-unscaled,inDegreeCentrality-1-New_Testament,inDegreeCentrality-1-New_Testament-unscaled,inInverseClosenessCentrality-1-New_Testament,inInverseClosenessCentrality-1-New_Testament-unscaled,interlockers-1-New_Testament,inverseClosenessCentrality-1-New_Testament,inverseClosenessCentrality-1-New_Testament-unscaled,outDegreeCentrality-1-New_Testament,outDegreeCentrality-1-New_Testament-unscaled,outDegreeCentrality-2-New_Testament,outDegreeCentrality-2-New_Testament-unscaled,pageRankCentrality-1-New_Testament,potentialBoundarySpanner-1-New_Testament,radials-1-New_Testament,rowDegreeCentrality-1-New_Testament,rowDegreeCentrality-1-New_Testament-unscaled,rowDegreeCentrality-2-New_Testament,rowDegreeCentrality-2-New_Testament-unscaled,rowGiniMeansDifference-1-New_Testament,sharedSituationAwareness-1-New_Testament,simmelianTies-1-New_Testament,simmelianTies-1-New_Testament-unscaled,strongComponentCount-2-New_Testament,structuralHolesConstraint-1-New_Testament,structuralHolesEffectiveNetworkSize-1-New_Testament,structuralHolesEfficiency-1-New_Testament,totalDegreeCentrality-1-New_Testament,totalDegreeCentrality-1-New_Testament-unscaled,triadCount-1-New_Testament,weakBoundarySpanner-1-New_Testament,weakComponentMembers-1-New_Testament,
aaron,aaron,0,0,0,1,1,9.933072e-001,8.230315e-003,0,1.021164e-005,0,0,5.630631e-006,5.630631e-006,1,4.987500e-003,4.083125e-002,7.443609e-003,2.085000e-002,4.962280e-003,9.591687e-001,9.925564e-001,2.005013e-002,1.670844e-004,0,6.111111e-001,11,0,0,0,6.988805e-006,3.354626e-004,9.196986e-004,3.678795e-001,0,0,0,0,0,1.585470e-006,0,5.630631e-006,1,8.491600e-002,3.388148e+001,0,8.491602e-002,3.388149e+001,2.083333e-002,1,5.630631e-006,1,1.382339e-003,0,0,2.083333e-002,1,5.630631e-006,1,4.987500e-003,4.787724e-006,0,0,0,1,1,1,5.630631e-006,1,0,0,1,
abaddon,abaddon,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,
abba,abba,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,
abel,abel,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,
abiathar,abiathar,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,
abilene,abilene,2.433667e-006,0,0,4,3.333333e-001,9.933072e-001,1.243165e-002,1,1.021167e-005,0,6.666667e-001,2.252252e-005,2.252252e-005,4,1.987500e-002,4.051796e-002,1.231830e-002,2.069002e-002,4.917836e-003,9.594820e-001,9.876817e-001,2.756892e-002,4.065621e-003,0,6.111111e-001,11,0,3.441724e-006,2.433667e-006,0,1.670170e-005,6.828733e-004,2.731493e-001,0,0,0,0,2.433667e-006,1.585471e-006,0,2.252252e-005,4,9.629267e-002,3.842078e+001,0,9.629268e-002,3.842078e+001,2.083333e-002,1,2.252252e-005,4,2.190080e-003,0,0,2.083333e-002,1,2.252252e-005,4,1.987500e-002,3.016266e-005,7.518797e-003,3,0,8.806732e-001,1.625000e+000,5.416667e-001,2.252252e-005,4,3,0,1,
abiud,abiud,0,8.841199e-003,702,7,6.000000e-001,9.933072e-001,1.526715e-002,2,1.021153e-005,0,4.000000e-001,3.941442e-005,3.941442e-005,7,3.468750e-002,4.041353e-002,1.479950e-002,2.063670e-002,4.917597e-003,9.595864e-001,9.852005e-001,3.007519e-002,5.102040e-003,0,8.333333e-001,15,7.500000e-001,0,0,0,6.144212e-006,7.117412e-004,2.846965e-001,0,0,0,0,0,1.585468e-006,0,3.941442e-005,7,6.160199e-002,2.457920e+001,0,6.160199e-002,2.457920e+001,2.083333e-002,1,3.941442e-005,7,4.938321e-003,1.882710e-002,0,2.083333e-002,1,3.941442e-005,7,3.468750e-002,6.415550e-005,1.002506e-002,4,0,5.709659e-001,3,7.500000e-001,3.941442e-005,7,2,1,1,
abraham,abraham,1.054119e-003,8.280794e-003,6.575034e+002,21,6.944444e-001,9.933072e-001,3.444520e-002,4,1.021173e-005,0,3.055556e-001,1.182432e-004,1.182432e-004,21,1.039125e-001,3.936926e-002,2.384712e-002,2.010345e-002,4.469081e-003,9.606307e-001,9.761529e-001,5.513784e-002,1.755402e-002,0,5.555556e-001,10,8.928571e-001,1.490750e-003,1.054119e-003,0,0,1.894543e-003,7.578174e-001,0,0,0,0,1.054119e-003,1.585473e-006,0,1.182432e-004,21,1.390291e-001,5.547261e+001,0,1.390291e-001,5.547262e+001,2.083333e-002,1,1.182432e-004,21,6.872527e-003,5.877913e-003,0,2.083333e-002,1,1.182432e-004,21,1.039125e-001,6.027744e-004,1.503759e-002,6,0,5.601122e-001,7.141534e+000,8.926918e-001,1.182432e-004,21,6,0,1,
aceldama,aceldama,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,
achaia,achaia,1.001916e-003,2.241785e-003,178,2,6.666667e-001,9.933072e-001,1.011736e-002,0,1.021171e-005,0,3.333333e-001,1.126126e-005,1.126126e-005,2,9.950000e-003,3.957811e-002,9.360902e-003,2.021010e-002,4.678783e-003,9.604219e-001,9.906391e-001,5.012531e-002,2.479856e-002,0,5.555556e-001,10,1,1.416923e-003,1.001916e-003,0,0,2.500000e-003,1,0,0,2.500000e-003,1,1.001916e-003,1.585473e-006,0,1.126126e-005,2,1.210417e-001,4.829563e+001,0,1.210417e-001,4.829564e+001,2.083333e-002,1,1.126126e-005,2,2.008239e-003,1.670839e-002,0,2.083333e-002,1,1.126126e-005,2,9.950000e-003,9.575448e-006,0,0,0,5.000000e-001,2,1,1.126126e-005,2,0,1,1,
